station,latitude,longitude,elevation
MAF,31.9466,-102.2075,868.94
MAN,43.5813,-116.5231,771.0
MBS,43.53,-84.08,202.0
MCD,45.865,-84.6372,226.0
MCF,27.85,-82.52,4.0
MCI,39.2976,-94.7139,320.0
MCK,40.2063,-100.5921,781.96
MCN,32.6928,-83.6492,110.0
MCO,28.4294,-81.309,32.0
MCW,43.1544,-93.3261,370.0
MDD,32.0365,-102.101,854.0
MDQ,34.86,-86.56,230.0
MDS,44.016,-97.0859,520.8
MDT,40.1936,-76.7633,94.0
MDW,41.786,-87.7524,188.0
MEM,35.0611,-89.985,87.0
MFD,40.82,-82.52,395.0
MFE,26.1758,-98.2386,33.0
MFI,44.6369,-90.1893,379.0
MFR,42.3811,-122.8722,405.0
MGE,33.9153,-84.5163,326.0
MGM,32.3006,-86.394,62.0
MGN,45.4256,-84.9134,209.0
MGR,31.0849,-83.8033,90.0
MGW,39.6429,-79.9163,380.0
MHT,42.9328,-71.4357,71.0
MIA,25.788,-80.3169,4.0
MIB,48.4158,-101.358,508.0
MIC,45.0622,-93.3511,261.65
MKC,39.123,-94.593,227.0
MKE,42.9472,-87.8967,206.0
MKJ,36.8949,-81.3499,780.0
MKL,35.5931,-88.9167,132.0
MLB,28.1028,-80.6453,11.0
MLI,41.4485,-90.5075,181.0
MLS,46.428,-105.8863,801.0
MMT,33.92,-80.8,77.0
MMV,45.1945,-123.1361,48.0
MOB,30.6883,-88.2456,67.0
MOD,37.6258,-120.9544,30.0
MPV,44.2035,-72.5623,355.0
MQB,40.52,-90.65,215.0
MQS,39.979,-75.8655,201.2
MQY,36.009,-86.5201,166.0
MRB,39.4019,-77.9847,170.0
MSP,44.8854,-93.2313,265.0
MSY,29.9933,-90.2511,9.0
MTC,42.6083,-82.8355,177.0
MTJ,38.505,-107.8975,1755.0
MTO,39.4779,-88.2792,214.0
MWC,43.1104,-88.0344,227.0
MWH,47.2086,-119.3191,361.0
MWL,32.7816,-98.0602,296.0
MWN,44.2708,-71.3035,1910.0
